"price_id","comic_id","type","price"
"30c23cae-532f-46bc-b382-c1298e8066b7",82967,"printPrice",0
"5e453d49-6757-42bc-b352-d854333edfb4",82965,"printPrice",0
"04e8ad6d-65fb-4197-b7c5-5d0398975c3d",82970,"printPrice",0
"b26a5a17-a1bb-476d-94eb-dd69edb9627b",17486,"printPrice",0
"00cce698-2989-476b-893a-27aff87a2e52",16243,"printPrice",0
"c5290e04-d29c-4b16-893a-b59d685f6e5f",27238,"printPrice",0
"23bc0e86-eaa3-46d3-8e17-e00f73cca46e",16242,"printPrice",0
"42cec445-4fcb-40cc-959c-87dfcbbbd72f",16248,"printPrice",0
"1986c88d-95da-4d3d-b2b1-d9778fa6349e",26620,"printPrice",24.99
"5327a2bb-b24e-42d7-b018-551d9671dd0a",5813,"printPrice",3.99
"1b976297-159e-439f-9263-de710c41e6f0",21477,"printPrice",0
"a7438626-1b11-4de2-b5d3-bdf43eae7d0a",21486,"printPrice",0
"d0a1bbed-98a2-44d9-a548-dd6a3ab4b78e",37529,"printPrice",0
"0c3f4c6c-8fdf-4011-8e0f-61d7183bf59a",21461,"printPrice",0
"55749bf2-7352-4986-a4f4-6ddd1dc534a4",1332,"printPrice",9.99
"54b2cd35-1f56-4f18-a1ed-d2f2ee44b49c",16235,"printPrice",0
"f2a9bb2f-a570-46b7-9cf9-3cf1c59e2919",37497,"printPrice",0
"897bb490-d7f3-40cd-acb8-6198ab846938",37507,"printPrice",0
"78196e43-0d52-45db-b6f1-460216d0e844",16247,"printPrice",0
"a098f6ce-9ab6-47e9-b592-a3e6e9aa73e4",16231,"printPrice",0
"b66644bc-1919-42a9-9d3d-29c87155ed06",1994,"printPrice",3.99
"67e2fa41-34b4-43f6-8dd9-71e8831e914f",16234,"printPrice",0
"217df36f-4a03-46f9-a0c7-8fe65bb0fcac",15878,"printPrice",0
"7ba8fceb-1e4e-430b-8a70-c76aa672244e",16240,"printPrice",0
"ea1b8f7c-0516-421b-b010-cb6fc95cd61c",16233,"printPrice",0
"a0243038-0942-4a15-856e-bd4fd22c0b20",16244,"printPrice",0
"18226aa4-8a50-4249-9066-4e007311df77",15094,"printPrice",0
"b707c4ed-b0d6-4550-87f4-cdfb70c8a88f",37508,"printPrice",0
"8c13940d-c237-4d63-9f28-35296d0dcb26",25582,"printPrice",39.99
"79ba7ab0-3102-45ae-8c20-1cb586284522",21484,"printPrice",0
"d4602684-703f-4cba-a42d-c035e8c2d063",16236,"printPrice",0
"fd855fb4-a8b4-4cea-aee8-8c5454fb8dd5",27649,"printPrice",3.99
"368dd155-3643-432e-b625-58cb38e9c534",25320,"printPrice",5.99
"3c7351a9-8ae8-4328-a589-14ced45cf25d",21474,"printPrice",0
"08b6e199-0727-4b1a-8cf8-d67e6cb092f1",21475,"printPrice",0
"c4aa539c-47cd-4362-8a81-df2c06193a3c",25321,"printPrice",5.99
"62de11b8-1cd1-4974-b48b-4258f0b1492a",16237,"printPrice",0
"8baafb23-f0c5-4825-9160-acdb08a18860",16241,"printPrice",0
"4af1aef2-7e70-4dae-9099-7e9b3c00636b",1689,"printPrice",3.99
"3b573894-33ff-4823-b23b-a2f2b6740458",21463,"printPrice",0
"3f648820-30e8-4e96-bdd4-bc2534d8ef06",21462,"printPrice",0
"59f1421e-a8c7-4dbb-974b-928c36f3ffe3",21476,"printPrice",0
"0edc2b94-4f92-4c52-b575-3d025551c394",21473,"printPrice",2.25
"5373be4a-2a15-4e0a-a091-3429d63eea84",22098,"printPrice",0
"b6b2fd48-eb9c-48ec-9ce7-d006140f0263",21468,"printPrice",2.5
"8f2e5ef8-45a9-4a8e-99a9-b83add735ce0",1220,"printPrice",0
"a68aa268-2d0e-4a67-b28e-b2898b376131",16230,"printPrice",0
"6198a463-653a-493a-a8fe-e86530f0ae24",15808,"printPrice",2.99
"c0806eb7-1d0b-41eb-b17e-eb21ab11d283",16246,"printPrice",0
"454bb8f7-9c74-419e-817c-6f8919e7f7c4",21479,"printPrice",0
"4a91b27a-befe-4d4c-81bd-bea815fcffda",37505,"printPrice",0
"15b24f21-f027-4bcd-ae2e-5a36fb1e7296",37499,"printPrice",0
"775e5af2-23ce-4f04-ae55-c0f134234d71",37302,"printPrice",0
"1081909d-32eb-4b6c-a93c-a49978c097fb",22253,"printPrice",0
"e5386fe7-270d-43e5-ace2-6db9c18719d4",1308,"printPrice",5.99
"eb95aae1-c871-45f7-bcf6-24ed299c2639",1590,"printPrice",3.99
"0e734399-3507-493f-96ea-b4c0cd158694",21471,"printPrice",0
"54fc3a82-5a48-44a6-a7f9-e25c23ed2628",16245,"printPrice",0
"584fde99-be85-4872-9593-db4d37455213",2088,"printPrice",3.99
"8d76cefb-4a6e-4998-9704-cd856cfeacc7",21171,"printPrice",2.99
"91bb0615-f3bc-482c-bbdb-90b5db72b104",37533,"printPrice",0
"1a88a9c5-744b-48ff-a440-1bc3de28b03e",23561,"printPrice",0
"154efd46-9487-4b34-a777-999cde66cfd6",37503,"printPrice",0
"b2af8685-7616-4d41-b555-4d244345572a",1886,"printPrice",3.99
"cb6e16de-3fae-4ce6-b4b7-693a3aee2e6f",37504,"printPrice",0
"81e5c5b1-1457-4b70-bd2c-6c718ae66c5c",22582,"printPrice",39.99
"2c17649a-dea8-4f16-9ba4-603faae0ed89",1749,"printPrice",3.99
"477db776-233a-4219-b9bb-62f5317d231e",37501,"printPrice",0
"99b0193f-0e45-4cb4-a012-ff914fd636b6",37376,"printPrice",0
"ed17c252-2649-4cbc-a48f-78c2fdd9e4a7",16229,"printPrice",0
"a2f7f253-fa56-4df8-a97e-77a5b6eb8dd1",21480,"printPrice",0
"272f27ca-1f34-475b-b06f-ffbdf272e971",21485,"printPrice",0
"33197011-c330-4ed1-81a9-ffe5e23c21f1",21478,"printPrice",0
"79624b93-1d63-4681-8fb2-a8bfde420bf9",21472,"printPrice",2.25
"4c3bb4c5-5b88-4f17-add5-912e91d1f703",16238,"printPrice",0
"75ff1e20-bfec-44c8-851f-5a30105fe638",3627,"printPrice",0
"09b15f3e-4327-4ba0-85b3-497f6450ac92",21469,"printPrice",2.25
"e0661153-9561-4059-a639-198da1c429c6",16239,"printPrice",0
"2baae09e-0ddc-40c8-a213-95562603aebd",21482,"printPrice",0
"7eafdcdf-c9f6-4afb-9b45-882b7e536af1",1003,"printPrice",9.99
"02d7840c-6b94-4a4d-abc5-22913ab16e08",21483,"printPrice",0
"d16d936d-d2fd-4524-a9e4-a5e6d1ed789a",21464,"printPrice",0
"7184fa0a-943c-4298-9a8b-8079f9e74500",6181,"printPrice",9.99
"12db09e7-5ec9-4e05-a888-f199841086d2",21470,"printPrice",2.25
"131173c0-e501-4e42-a855-9bab83e00ccd",21467,"printPrice",2.5
"07741ffb-8829-42af-83a5-a52bcc3b7f81",1158,"printPrice",9.99
"22f50388-eaee-4bc6-9b38-24792ab3300e",25856,"printPrice",24.99
"d8ada958-0b98-41fd-bb42-c4994200a912",20956,"printPrice",0
"9953f4f7-95bf-4233-8f5f-dde2c13f4b1e",21481,"printPrice",0
"0f16dde9-ca28-4693-ac24-057417aca6c9",21466,"printPrice",2.25
"4a929e08-5b98-43eb-b8a5-85791baffaee",16232,"printPrice",0
"f56c9064-90d0-42b5-bf96-3d18ceb617b8",21465,"printPrice",2.25
"ee254888-aa5f-4297-a5a5-15ae3eb0d653",183,"printPrice",2.99
"b06f5390-3d84-4d7b-969d-5f8d1422f84e",331,"printPrice",2.5
"0dea8718-2588-44f5-9efa-283c19ee71d2",376,"printPrice",2.99
"2a659c0e-2aa9-4bbe-ad01-074659ccd7a7",323,"printPrice",2.99
"8da2cd5b-6a6c-46d3-9c7d-1e913b88cbf7",37502,"printPrice",0
"7d5525ff-ea7d-41b7-8920-ba5aeec375e3",291,"printPrice",2.99
"5a48a05d-801a-446c-a467-fe21402b406e",384,"printPrice",2.5
"4db936df-3142-49ad-a6c7-76edfea9c8a7",428,"printPrice",2.99
"f3fd7ed9-1772-4ded-b3b4-4baba25c1035",59754,"printPrice",4.99
"263c2985-642c-4e6e-b81a-2c8302cef51e",1220,"printPrice",0
"9331cd56-1603-4ef3-b33b-5c851c88cfaa",21466,"printPrice",2.25
"b1ed6183-9440-4d88-a8ae-813981964f94",25856,"printPrice",24.99
"64a09c2b-1201-4fa9-b248-bd9780de09ba",37533,"printPrice",0
"2350b52e-6048-43a6-93f0-ce2770942ff0",21470,"printPrice",2.25
"25b689b1-f160-47af-b18c-4e1eb656f137",21483,"printPrice",0
"bb807eee-30bb-4eb9-9644-66e0ad9354da",59548,"printPrice",3.99
"e7f66bb8-0ca9-4953-a4c8-a2b2f6c17f99",21476,"printPrice",0
"9df7317e-cefe-45d4-98a6-9ffcfb2a05ae",376,"printPrice",2.99
"1d411e15-fe0d-4040-8099-9cf1feb208c5",6181,"printPrice",9.99
"fb4758c2-c807-435b-97dd-72f2707afbc4",58587,"printPrice",3.99
"cd2faa9e-ae93-4400-a103-88e14cbe9779",16246,"printPrice",0
"814c80c3-2962-4e10-9ffe-5e95de77695d",16244,"printPrice",0
"eaa5c37d-6525-48d3-ab2c-04712a71a01b",37302,"printPrice",0
"08f44aa0-b06d-442f-b599-177be390cf53",331,"printPrice",2.5
"9b22371a-7072-4d79-b62d-3a6346763808",59527,"printPrice",3.99
"6ada0b94-d580-451b-aac8-3454e7e4ce33",183,"printPrice",2.99
"ce0e8d23-e4dc-480f-b18e-24fc106d5795",37505,"printPrice",0
"da4f6194-7ef6-4e48-a4b8-95edb5df566d",16247,"printPrice",0
"1429f1c7-06a8-4d97-9d63-6d8af3a40ca5",37530,"printPrice",0
"46e10f03-76cd-4122-97a2-382ace533944",1158,"printPrice",9.99
"d9175960-a7fd-4181-891e-1bac9f03e220",16230,"printPrice",0
"33f9453a-044f-4cc4-b43f-5e0a47d34f42",37500,"printPrice",0
"d1e283f9-162b-4af3-b5c7-6821d0bf7552",428,"printPrice",2.99
"7ee0ad9e-220d-4b56-8814-2f72b8e55797",21473,"printPrice",2.25
"a41eaeb4-29e0-4af7-bcc3-0426bdaa1b35",1749,"printPrice",3.99
"a0c65b8a-2ab2-42bc-a73c-c8f137fdae67",21471,"printPrice",0
"b4fabdc8-5436-4931-88c5-79c4d8a8a81e",37504,"printPrice",0
"6c57677b-cd4f-4772-9b21-f36116ac503c",73111,"printPrice",44.99
"466952c5-2ea3-45c3-8070-12851115cd6e",76405,"printPrice",0
"a2a127e9-085d-4e90-933d-4a013be257c5",76404,"printPrice",0
"5ba5128a-7110-4844-9fbe-46bea83d82b1",80533,"printPrice",3.99
"13b95673-2c91-4b1b-b368-fa064394224b",55696,"printPrice",17.99
"9801111c-a029-4f6e-97c1-f649ff994dc5",59952,"printPrice",17.99
